Term,Department,Number of Sections,Enrollments,Mean Points
11W,AAAS,8,138,10.5625
11S,AAAS,8,183,10.75
11X,AAAS,2,27,10.5
11F,AAAS,6,159,11.25
12W,AAAS,8,133,10.9375
12S,AAAS,9,164,10.833333333333334
12X,AAAS,2,32,10.0
12F,AAAS,5,154,10.5
13W,AAAS,8,122,10.8125
13S,AAAS,10,164,11.194444444444445
13X,AAAS,2,29,11.0
13F,AAAS,4,54,11.0
14W,AAAS,9,175,10.9375
14S,AAAS,9,174,10.944444444444445
14X,AAAS,3,42,10.666666666666666
14F,AAAS,9,178,10.38888888888889
15W,AAAS,6,119,11.0
15S,AAAS,10,179,10.8
15X,AAAS,1,30,10.0
15F,AAAS,9,160,10.5
16W,AAAS,6,107,10.75
16S,AAAS,9,175,11.166666666666666
16X,AAAS,4,73,10.875
16F,AAAS,9,249,11.38888888888889
17W,AAAS,4,89,11.25
17S,AAAS,10,196,10.95
17X,AAAS,7,241,11.071428571428571
17F,AAAS,10,176,11.2
18W,AAAS,8,139,11.125
18S,AAAS,9,201,11.11111111111111
18X,AAAS,9,193,11.777777777777779
18F,AAAS,9,219,11.222222222222221
19W,AAAS,7,111,11.0
19S,AAAS,15,312,11.4
19X,AAAS,3,45,11.666666666666666
19F,AAAS,8,250,11.625
20W,AAAS,9,189,11.38888888888889
11W,AMEL,1,16,11.0
12W,AMEL,1,16,12.0
13S,AMEL,1,16,11.0
14W,AMEL,1,16,11.0
15W,AMEL,1,16,11.0
16F,AMEL,1,16,11.0
17W,AMEL,1,15,11.0
18W,AMEL,1,14,11.0
18S,AMEL,1,10,11.5
11W,AMES,10,274,11.55
11S,AMES,9,177,11.333333333333334
11F,AMES,3,55,11.0
12W,AMES,8,230,11.0
12S,AMES,9,255,11.38888888888889
12X,AMES,3,133,10.666666666666666
12F,AMES,1,28,11.0
13W,AMES,7,225,11.0
13S,AMES,7,126,11.428571428571429
13X,AMES,1,36,10.0
13F,AMES,4,112,11.166666666666666
14W,AMES,8,203,11.166666666666666
14S,AMES,10,288,11.2
14X,AMES,1,32,11.0
14F,AMES,4,88,11.25
15W,AMES,9,233,11.0
15S,AMES,13,309,11.153846153846153
15X,AMES,2,64,10.75
15F,AMES,7,161,11.285714285714286
16W,AMES,8,180,11.0625
16S,AMES,10,338,11.3
16X,AMES,3,133,10.666666666666666
16F,AMES,7,197,10.785714285714286
17W,AMES,10,277,11.1
17S,AMES,11,303,11.363636363636363
17X,AMES,2,73,11.5
17F,AMES,5,103,10.8
18W,AMES,12,281,10.863636363636363
18S,AMES,14,308,11.142857142857142
11W,ANTH,14,349,10.071428571428571
11S,ANTH,11,393,10.636363636363637
11X,ANTH,2,44,10.5
11F,ANTH,9,302,10.38888888888889
12W,ANTH,13,328,10.576923076923077
12S,ANTH,12,364,10.666666666666666
12X,ANTH,1,49,12.0
12F,ANTH,11,367,10.681818181818182
13W,ANTH,14,233,10.928571428571429
13S,ANTH,11,237,10.9
13X,ANTH,2,61,10.5
13F,ANTH,12,365,10.916666666666666
14W,ANTH,10,230,11.1
14S,ANTH,8,170,11.375
14X,ANTH,2,81,10.5
14F,ANTH,9,284,10.777777777777779
15W,ANTH,13,265,11.26923076923077
15S,ANTH,13,291,10.961538461538462
15X,ANTH,2,77,10.0
15F,ANTH,12,320,10.583333333333334
16W,ANTH,15,355,11.166666666666666
16S,ANTH,12,388,11.083333333333334
16X,ANTH,3,120,11.333333333333334
16F,ANTH,13,394,10.961538461538462
17W,ANTH,14,339,11.0
17S,ANTH,17,443,11.117647058823529
17X,ANTH,4,89,10.5
17F,ANTH,12,410,11.208333333333334
18W,ANTH,15,325,11.066666666666666
18S,ANTH,12,309,11.458333333333334
18X,ANTH,3,50,11.0
18F,ANTH,13,450,11.038461538461538
19W,ANTH,15,326,11.1
19S,ANTH,16,418,11.8125
19X,ANTH,2,38,12.0
19F,ANTH,11,323,11.75
20W,ANTH,14,328,11.321428571428571
11W,ARAB,4,83,11.166666666666666
11S,ARAB,4,46,11.666666666666666
11F,ARAB,4,61,12.0
12W,ARAB,6,114,11.6
12S,ARAB,4,55,12.0
12F,ARAB,3,40,12.0
13W,ARAB,5,69,11.75
13S,ARAB,3,47,12.0
13F,ARAB,3,41,11.5
14W,ARAB,4,58,11.75
14S,ARAB,4,74,11.5
14F,ARAB,4,51,11.25
15W,ARAB,4,90,11.666666666666666
15S,ARAB,2,31,11.5
15X,ARAB,3,50,11.666666666666666
15F,ARAB,4,55,12.0
16W,ARAB,2,21,12.0
16S,ARAB,3,82,11.5
16X,ARAB,3,37,11.0
16F,ARAB,4,55,11.833333333333334
17W,ARAB,1,17,12.0
17S,ARAB,3,58,11.5
17X,ARAB,3,39,11.666666666666666
17F,ARAB,4,56,11.75
18W,ARAB,5,80,11.5
18S,ARAB,3,48,11.333333333333334
18F,ARAB,2,31,12.0
19W,ARAB,2,31,12.0
19S,ARAB,2,30,12.0
19F,ARAB,2,35,12.0
20W,ARAB,3,42,12.0
11W,ARTH,6,140,10.583333333333334
11S,ARTH,10,186,10.8125
11X,ARTH,1,42,10.0
11F,ARTH,6,146,10.666666666666666
12W,ARTH,6,145,10.833333333333334
12S,ARTH,11,244,10.818181818181818
12X,ARTH,1,46,9.0
12F,ARTH,7,135,10.714285714285714
13W,ARTH,7,175,10.416666666666666
13S,ARTH,11,179,11.15
13X,ARTH,1,45,10.0
13F,ARTH,5,127,10.8
14W,ARTH,5,96,11.0
14S,ARTH,10,175,10.95
14X,ARTH,2,37,10.75
14F,ARTH,5,116,10.6
15W,ARTH,7,146,10.571428571428571
15S,ARTH,10,206,10.75
15X,ARTH,2,89,10.5
15F,ARTH,6,143,11.333333333333334
16W,ARTH,7,153,10.357142857142858
16S,ARTH,9,182,10.944444444444445
16X,ARTH,1,16,11.0
16F,ARTH,5,151,10.7
17W,ARTH,7,119,10.857142857142858
17S,ARTH,10,185,11.05
17X,ARTH,1,13,11.0
17F,ARTH,6,150,10.5
18W,ARTH,5,90,10.7
18S,ARTH,10,199,11.05
18X,ARTH,2,28,11.0
18F,ARTH,6,140,11.166666666666666
19W,ARTH,7,120,11.0
19S,ARTH,8,139,11.3125
19X,ARTH,2,39,10.75
19F,ARTH,6,132,11.25
20W,ARTH,5,90,10.8
18F,ASCL,4,122,11.5
19W,ASCL,7,117,11.428571428571429
19S,ASCL,8,222,11.5
19X,ASCL,5,97,11.2
19F,ASCL,7,209,11.083333333333334
20W,ASCL,14,275,11.346153846153847
11W,ASTR,1,10,10.5
11S,ASTR,2,112,10.25
11X,ASTR,3,250,10.666666666666666
11F,ASTR,2,118,10.0
12W,ASTR,1,10,10.5
12S,ASTR,1,41,11.0
12X,ASTR,4,272,11.25
12F,ASTR,2,82,10.0
13S,ASTR,2,60,10.5
13X,ASTR,3,222,11.333333333333334
13F,ASTR,2,86,10.0
14S,ASTR,2,80,10.0
14X,ASTR,3,187,11.333333333333334
14F,ASTR,2,54,9.5
15W,ASTR,2,26,12.0
15S,ASTR,1,62,10.0
15X,ASTR,3,223,11.0
15F,ASTR,2,51,10.5
16S,ASTR,2,105,10.75
16X,ASTR,3,261,11.0
16F,ASTR,2,84,10.5
17W,ASTR,2,26,11.5
17S,ASTR,2,163,10.0
17X,ASTR,3,282,11.0
17F,ASTR,2,83,10.5
18S,ASTR,2,135,10.75
18X,ASTR,2,238,12.0
18F,ASTR,2,103,10.5
19W,ASTR,2,28,12.0
19S,ASTR,2,176,11.0
19X,ASTR,2,199,10.5
19F,ASTR,2,74,11.0
11W,BIOL,17,488,10.441176470588236
11S,BIOL,14,427,10.25
11X,BIOL,5,186,10.2
11F,BIOL,13,571,9.818181818181818
12W,BIOL,17,565,10.147058823529411
12S,BIOL,15,485,10.464285714285714
12X,BIOL,4,209,9.5
12F,BIOL,14,601,10.178571428571429
13W,BIOL,19,561,10.263157894736842
13S,BIOL,16,477,10.5
13X,BIOL,2,165,9.0
13F,BIOL,12,488,9.727272727272727
14W,BIOL,19,509,10.447368421052632
14S,BIOL,14,366,10.76923076923077
14X,BIOL,3,147,9.666666666666666
14F,BIOL,11,496,9.9
15W,BIOL,16,442,10.133333333333333
15S,BIOL,12,326,10.181818181818182
15X,BIOL,4,150,9.375
15F,BIOL,11,450,9.7
16W,BIOL,14,354,10.384615384615385
16S,BIOL,16,383,10.333333333333334
16X,BIOL,3,103,10.0
16F,BIOL,14,519,10.153846153846153
17W,BIOL,15,404,10.232142857142858
17S,BIOL,10,302,10.4
17X,BIOL,2,89,9.5
17F,BIOL,12,439,9.863636363636363
18W,BIOL,15,409,10.339285714285714
18S,BIOL,13,358,10.5
18X,BIOL,3,106,10.333333333333334
18F,BIOL,14,450,9.884615384615385
19W,BIOL,15,392,10.142857142857142
19S,BIOL,14,369,10.384615384615385
19X,BIOL,3,113,9.833333333333334
19F,BIOL,11,420,9.681818181818182
20W,BIOL,16,397,10.1
11W,CHEM,6,370,9.7
11S,CHEM,5,330,9.625
11X,CHEM,2,63,9.5
11F,CHEM,7,298,9.142857142857142
12W,CHEM,8,378,10.0
12S,CHEM,5,312,9.75
12X,CHEM,2,64,9.5
12F,CHEM,7,277,9.357142857142858
13W,CHEM,8,321,9.464285714285714
13S,CHEM,6,361,10.4
13X,CHEM,1,76,9.0
13F,CHEM,8,301,9.6875
14W,CHEM,8,375,10.142857142857142
14S,CHEM,5,301,9.875
14X,CHEM,2,64,9.0
14F,CHEM,4,215,10.0
15W,CHEM,6,326,10.4
15S,CHEM,6,336,9.8
15X,CHEM,2,56,9.5
15F,CHEM,4,225,9.5
16W,CHEM,7,303,10.083333333333334
16S,CHEM,6,260,10.0
16X,CHEM,2,73,10.5
16F,CHEM,6,221,10.25
17W,CHEM,7,323,10.083333333333334
17S,CHEM,6,292,9.9
17X,CHEM,1,41,9.0
17F,CHEM,5,227,9.5
18W,CHEM,7,313,10.583333333333334
18S,CHEM,5,303,9.5
18X,CHEM,2,62,9.0
18F,CHEM,4,217,9.75
19W,CHEM,7,272,10.25
19S,CHEM,6,277,10.05
19X,CHEM,2,79,10.0
19F,CHEM,4,190,9.5
20W,CHEM,5,276,10.0
11W,CHIN,7,126,11.466666666666667
11S,CHIN,4,65,12.0
11X,CHIN,3,57,12.0
11F,CHIN,9,138,11.466666666666665
12W,CHIN,5,73,11.166666666666666
12S,CHIN,5,151,11.375
12X,CHIN,5,72,12.0
12F,CHIN,10,140,11.361111111111109
13W,CHIN,4,94,11.333333333333334
13S,CHIN,5,91,11.25
13X,CHIN,5,60,11.5
13F,CHIN,9,123,11.45238095238095
14W,CHIN,5,63,11.416666666666666
14S,CHIN,4,78,11.375
14F,CHIN,7,87,11.5
15W,CHIN,5,96,11.625
15S,CHIN,4,55,11.75
15X,CHIN,2,26,11.25
15F,CHIN,9,124,11.866666666666667
16W,CHIN,5,76,10.833333333333334
16S,CHIN,5,147,11.583333333333334
16X,CHIN,3,39,12.0
16F,CHIN,11,151,11.1875
17W,CHIN,2,28,11.0
17S,CHIN,4,95,11.5
17X,CHIN,1,18,12.0
17F,CHIN,7,123,11.708333333333334
18W,CHIN,3,55,11.25
18S,CHIN,5,126,11.8125
18F,CHIN,6,94,11.277777777777779
19W,CHIN,3,40,11.0
19S,CHIN,3,36,11.125
19F,CHIN,8,111,11.766666666666667
20W,CHIN,5,59,11.416666666666666
11W,CLST,6,153,9.833333333333334
11S,CLST,7,132,10.5
11X,CLST,1,91,10.0
11F,CLST,6,79,10.7
12W,CLST,4,100,10.25
12S,CLST,5,108,11.0
12X,CLST,1,133,10.0
12F,CLST,3,69,10.0
13W,CLST,2,58,11.5
13S,CLST,9,149,10.535714285714286
13X,CLST,1,138,11.0
13F,CLST,5,68,11.5
14W,CLST,5,235,11.0
14S,CLST,5,159,10.7
14X,CLST,1,89,9.0
14F,CLST,5,135,10.4
15W,CLST,3,196,10.666666666666666
15S,CLST,7,122,10.833333333333334
15X,CLST,1,75,10.0
15F,CLST,7,120,10.714285714285714
16W,CLST,4,219,11.0
16S,CLST,7,133,10.857142857142858
16X,CLST,1,126,11.0
16F,CLST,5,122,10.9
17W,CLST,2,48,10.5
17S,CLST,9,146,11.0
17X,CLST,1,126,10.0
17F,CLST,8,123,10.714285714285714
18W,CLST,3,192,11.333333333333334
18S,CLST,6,123,11.0
18X,CLST,1,82,10.0
18F,CLST,5,138,10.5
19W,CLST,4,60,10.875
19S,CLST,6,103,11.85
19X,CLST,1,30,12.0
19F,CLST,6,100,11.55
20W,CLST,4,82,11.0
11W,COCO,1,60,10.5
11S,COCO,3,62,11.666666666666666
11X,COCO,1,23,11.0
11F,COCO,1,17,10.0
12W,COCO,1,15,11.0
12S,COCO,2,37,10.5
12F,COCO,1,12,10.0
13W,COCO,2,31,12.0
13S,COCO,3,93,11.0
14W,COCO,3,56,10.333333333333334
14S,COCO,3,123,10.666666666666666
14F,COCO,2,20,11.5
15W,COCO,1,19,12.0
15S,COCO,2,49,11.5
15F,COCO,3,52,11.333333333333334
16W,COCO,1,21,12.0
16S,COCO,4,59,10.5
16F,COCO,1,11,12.0
17S,COCO,3,53,11.666666666666666
17F,COCO,2,63,11.0
18S,COCO,1,20,12.0
18X,COCO,1,33,11.0
18F,COCO,2,40,10.5
19W,COCO,2,54,11.5
19S,COCO,1,26,12.0
20W,COCO,2,33,10.5
11S,COGS,1,109,10.0
12W,COGS,1,13,12.0
12S,COGS,2,204,10.5
13S,COGS,2,190,11.0
13F,COGS,1,22,10.5
14S,COGS,1,51,11.0
14F,COGS,1,22,9.0
15S,COGS,2,121,11.5
16S,COGS,2,45,10.5
16F,COGS,1,45,10.0
17S,COGS,2,72,11.0
17F,COGS,3,115,10.666666666666666
18S,COGS,3,101,10.666666666666666
18F,COGS,3,59,10.333333333333334
19W,COGS,1,47,11.0
19S,COGS,2,56,9.75
19F,COGS,3,69,11.0
20W,COGS,1,28,11.0
11W,COLT,4,53,10.75
11S,COLT,7,108,11.333333333333334
11X,COLT,2,37,11.0
11F,COLT,3,50,11.666666666666666
12W,COLT,4,55,11.75
12S,COLT,6,90,11.5
12X,COLT,1,13,12.0
12F,COLT,6,93,11.2
13W,COLT,5,96,11.1
13S,COLT,8,140,11.25
13X,COLT,4,64,11.166666666666666
13F,COLT,6,171,11.7
14W,COLT,5,64,11.4
14S,COLT,5,94,11.625
14X,COLT,2,46,11.0
14F,COLT,5,138,11.6
15W,COLT,4,90,11.25
15S,COLT,3,74,11.166666666666666
15X,COLT,2,31,10.5
15F,COLT,6,169,11.666666666666666
16W,COLT,2,45,11.5
16S,COLT,6,95,11.5
16X,COLT,1,19,12.0
16F,COLT,4,105,11.375
17W,COLT,5,188,11.5
17S,COLT,6,100,11.166666666666666
17F,COLT,8,243,11.5
18W,COLT,2,36,11.5
18S,COLT,3,61,11.333333333333334
18X,COLT,2,159,11.0
18F,COLT,7,216,11.285714285714286
19W,COLT,4,260,11.5
