Year,Term,Department,Course Number,Number of Sections,Enrollments,Mean Points
2015,15W,AAAS,18.03,1,24,10.0
2020,20W,AAAS,18.03,1,18,10.0
2019,19F,AAAS,21.1,1,82,11.0
2018,18F,AAAS,21.75,1,32,11.0
2019,19W,AAAS,32.02,1,10,11.0
2019,19S,AAAS,32.05,1,32,11.0
2019,19S,AAAS,32.15,1,17,12.0
2019,19S,AAAS,32.5,1,18,12.0
2019,19S,AAAS,35.5,1,20,12.0
2019,19S,AAAS,36.5,1,27,12.0
2020,20W,AAAS,36.5,1,36,11.0
2015,15F,AAAS,39.01,1,24,12.0
2016,16S,AAAS,39.02,1,28,12.0
2017,17S,AAAS,39.02,1,30,12.0
2017,17F,AAAS,39.02,1,25,12.0
2018,18F,AAAS,39.02,1,28,12.0
2019,19F,AAAS,39.02,1,25,12.0
2015,15S,AAAS,55.01,1,25,11.0
2019,19S,AAAS,60.5,1,16,12.0
2018,18X,AAAS,68.1,1,18,12.0
2018,18X,AAAS,68.2,1,18,12.0
2015,15S,AAAS,80.05,1,25,12.0
2016,16S,AAAS,80.05,1,25,11.0
2015,15F,AAAS,80.06,1,21,9.0
2016,16F,AAAS,80.06,1,26,11.0
2017,17F,AAAS,80.06,1,12,11.5
2019,19F,AAAS,80.06,1,19,12.0
2016,16F,AAAS,80.07,1,46,11.0
2018,18F,AAAS,80.08,1,18,10.0
2017,17X,AAAS,80.09,1,18,12.0
2018,18X,AAAS,80.09,1,21,12.0
2017,17X,AAAS,80.1,1,150,11.0
2020,20W,AAAS,81.01,1,28,12.0
2014,14X,AAAS,81.04,1,11,12.0
2016,16X,AAAS,81.05,1,14,11.5
2017,17W,AAAS,81.06,1,26,11.0
2018,18W,AAAS,81.07,1,20,11.0
2018,18S,AAAS,81.1,1,24,11.5
2016,16S,AAAS,82.01,1,33,11.0
2014,14F,AAAS,82.05,1,10,12.0
2017,17S,AAAS,82.05,1,14,12.0
2014,14S,AAAS,83.04,1,15,11.0
2015,15F,AAAS,83.05,1,23,12.0
2018,18S,AAAS,83.06,1,11,11.0
2018,18W,AAAS,83.08,1,12,11.0
2019,19S,AAAS,83.08,1,32,12.0
2016,16W,AAAS,86.04,1,14,12.0
2019,19S,AAAS,86.04,1,25,12.0
2014,14S,AAAS,87.05,1,38,10.5
2014,14F,AAAS,87.05,1,34,10.5
2016,16F,AAAS,87.05,1,35,11.0
2018,18S,AAAS,87.05,1,32,11.0
2019,19W,AAAS,87.05,1,26,11.0
2016,16F,AAAS,87.09,1,10,11.5
2017,17X,AAAS,87.09,1,16,11.0
2017,17S,AAAS,87.1,1,26,11.0
2018,18S,AAAS,87.12,1,18,10.5
2014,14S,AAAS,88.02,1,21,11.0
2015,15X,AAAS,88.02,1,30,10.0
2014,14S,AAAS,88.07,1,11,10.0
2015,15W,AAAS,88.08,1,23,12.0
