Year,Term,Department,Course Number,Number of Sections,Enrollments,Mean Points
2014,14S,FREN,12.0,1,10,11.0
2015,15W,FREN,12.0,1,12,11.5
2016,16S,FREN,12.0,1,11,11.0
2018,18W,FREN,12.0,1,13,11.0
2019,19W,FREN,12.0,1,13,12.0
2016,16S,FREN,15.0,1,14,11.5
2018,18S,FREN,15.0,1,13,11.0
2012,12S,FREN,20.0,1,13,11.0
2016,16W,FREN,20.0,1,12,11.0
2012,12W,FREN,21.0,1,14,12.0
2015,15F,FREN,21.0,1,11,12.0
2016,16F,FREN,21.0,1,17,11.0
2019,19S,FREN,21.0,1,11,11.0
2013,13S,FREN,22.0,1,20,12.0
2014,14S,FREN,22.0,1,14,11.0
2015,15S,FREN,22.0,1,12,10.5
2017,17S,FREN,22.0,1,13,10.0
2019,19S,FREN,22.0,1,17,12.0
2011,11F,FREN,23.0,1,13,12.0
2012,12F,FREN,23.0,1,14,11.0
2013,13F,FREN,23.0,1,10,10.0
2015,15S,FREN,23.0,1,13,11.0
2017,17W,FREN,23.0,1,11,11.0
2017,17F,FREN,23.0,1,14,11.0
2011,11S,FREN,24.0,1,13,11.0
2012,12F,FREN,24.0,1,14,11.0
2014,14W,FREN,24.0,1,12,10.5
2014,14F,FREN,24.0,1,13,12.0
2016,16S,FREN,24.0,1,10,12.0
2017,17W,FREN,24.0,1,10,11.5
2012,12S,FREN,25.0,1,26,11.0
2013,13W,FREN,25.0,1,12,11.0
2014,14S,FREN,25.0,1,21,11.0
2015,15W,FREN,25.0,1,11,11.0
2018,18S,FREN,25.0,1,17,12.0
2019,19W,FREN,25.0,1,12,11.5
2011,11W,FREN,29.0,1,19,11.0
2011,11S,FREN,29.0,1,12,10.5
2012,12W,FREN,29.0,1,16,10.0
2012,12S,FREN,29.0,1,15,11.0
2013,13W,FREN,29.0,1,15,11.0
2013,13S,FREN,29.0,1,13,11.0
2013,13F,FREN,29.0,1,11,11.0
2014,14W,FREN,29.0,1,20,11.0
2014,14S,FREN,29.0,1,14,11.0
2015,15W,FREN,29.0,1,12,11.0
2015,15S,FREN,29.0,1,11,11.0
2016,16W,FREN,29.0,1,13,11.0
2016,16S,FREN,29.0,1,16,11.5
2017,17W,FREN,29.0,1,12,11.0
2018,18F,FREN,29.0,1,10,12.0
2019,19W,FREN,29.0,1,10,11.0
2011,11W,FREN,30.0,1,19,11.0
2011,11S,FREN,30.0,1,12,11.0
2012,12W,FREN,30.0,1,16,10.5
2012,12S,FREN,30.0,1,15,11.0
2013,13W,FREN,30.0,1,15,12.0
2013,13S,FREN,30.0,1,13,11.0
2013,13F,FREN,30.0,1,11,11.0
2014,14W,FREN,30.0,1,20,12.0
2014,14S,FREN,30.0,1,14,11.0
2015,15W,FREN,30.0,1,12,12.0
2015,15S,FREN,30.0,1,11,11.0
2016,16W,FREN,30.0,1,13,12.0
2016,16S,FREN,30.0,1,16,12.0
2017,17W,FREN,30.0,1,12,11.0
2018,18F,FREN,30.0,1,10,12.0
2019,19W,FREN,30.0,1,10,11.0
2011,11W,FREN,31.0,1,19,12.0
2011,11S,FREN,31.0,1,12,11.0
2012,12W,FREN,31.0,1,16,11.0
2012,12S,FREN,31.0,1,15,11.0
2013,13W,FREN,31.0,1,15,11.0
2013,13S,FREN,31.0,1,13,11.0
2013,13F,FREN,31.0,1,11,12.0
2014,14W,FREN,31.0,1,20,11.0
2014,14S,FREN,31.0,1,14,11.0
2015,15W,FREN,31.0,1,12,11.5
2015,15S,FREN,31.0,1,11,11.0
2016,16W,FREN,31.0,1,13,11.0
2016,16S,FREN,31.0,1,16,11.5
2017,17W,FREN,31.0,1,12,11.0
2018,18F,FREN,31.0,1,10,12.0
2019,19W,FREN,31.0,1,10,11.5
2011,11X,FREN,35.0,1,10,11.0
2013,13S,FREN,35.0,1,12,10.0
2012,12X,FREN,40.0,1,14,12.0
2013,13X,FREN,40.0,1,15,12.0
2013,13F,FREN,50.0,1,11,11.0
2011,11S,FREN,53.0,1,13,12.0
2011,11F,FREN,53.0,1,18,11.5
2014,14W,FREN,53.0,1,13,12.0
2011,11S,FREN,55.0,1,10,12.0
2012,12S,FREN,60.0,1,10,11.0
2014,14S,FREN,60.0,1,13,12.0
2016,16W,FREN,7.02,1,15,11.0
2017,17W,FREN,7.02,1,16,11.0
2019,19W,FREN,7.02,1,12,12.0
2020,20W,FREN,7.02,1,15,12.0
2015,15W,FREN,7.04,1,15,11.0
2018,18W,FREN,7.04,1,16,10.0
2013,13W,FREN,70.0,1,11,11.0
2012,12W,FREN,75.0,1,11,10.0
2012,12W,FREN,78.0,1,10,12.0
2014,14F,FREN,10.03,1,13,11.0
2017,17F,FREN,10.03,1,16,11.0
2014,14F,FREN,10.05,1,11,12.0
2017,17W,FREN,10.06,1,13,12.0
2019,19F,FREN,10.06,1,11,12.0
2015,15F,FREN,10.08,1,15,12.0
2016,16F,FREN,10.08,1,13,12.0
2018,18F,FREN,10.08,1,11,12.0
2016,16S,FREN,10.09,1,11,12.0
2015,15W,FREN,10.1,1,16,12.0
2016,16S,FREN,10.1,1,12,12.0
2019,19F,FREN,10.1,1,10,12.0
2018,18W,FREN,10.13,1,13,11.0
2018,18S,FREN,10.17,1,20,11.0
2019,19W,FREN,10.17,1,11,12.0
2018,18X,FREN,10.2,1,11,12.0
2018,18F,FREN,20.02,1,10,11.0
2020,20W,FREN,20.02,1,11,11.0
2015,15X,FREN,35.03,1,13,12.0
2017,17F,FREN,40.06,1,11,12.0
2017,17S,FREN,45.04,1,13,11.0
2014,14F,FREN,53.02,1,15,12.0
2015,15F,FREN,53.06,1,12,12.0
2019,19F,FREN,53.06,1,17,12.0
2016,16F,FREN,53.07,1,14,11.5
2018,18S,FREN,53.08,1,13,12.0
2018,18X,FREN,55.05,1,11,12.0
2019,19F,FREN,70.03,1,11,12.0
2016,16X,FREN,75.02,1,12,12.0
2019,19X,FREN,75.02,1,10,12.0
2011,11F,FRIT,33.0,1,35,11.0
2013,13W,FRIT,33.0,1,12,12.0
2014,14F,FRIT,33.0,1,16,11.0
2013,13S,FRIT,35.0,1,16,11.0
2014,14S,FRIT,35.0,1,37,12.0
2016,16F,FRIT,93.0,1,13,12.0
2018,18F,FRIT,93.0,1,12,12.0
2020,20W,FRIT,33.01,1,11,12.0
2016,16X,FRIT,34.01,1,19,12.0
2016,16W,FRIT,35.01,1,20,11.0
2017,17F,FRIT,35.02,1,18,12.0
2019,19F,FRIT,35.02,1,23,12.0
2019,19S,FRIT,37.07,1,12,12.0
2011,11S,GENE,187.0,1,11,11.0
2012,12S,GENE,187.0,1,15,11.0
2011,11W,GEOG,1.0,1,78,11.0
2011,11S,GEOG,1.0,1,70,11.0
2011,11F,GEOG,1.0,1,75,11.0
2012,12W,GEOG,1.0,1,54,10.5
2012,12F,GEOG,1.0,1,51,11.0
2013,13W,GEOG,1.0,1,42,11.5
2013,13F,GEOG,1.0,1,53,11.0
2014,14S,GEOG,1.0,1,50,10.0
2014,14F,GEOG,1.0,1,43,11.0
2015,15S,GEOG,1.0,1,52,11.0
2015,15F,GEOG,1.0,1,51,12.0
2016,16S,GEOG,1.0,1,44,10.0
2016,16F,GEOG,1.0,1,42,10.0
2017,17S,GEOG,1.0,1,45,10.0
2017,17F,GEOG,1.0,1,39,11.0
2018,18S,GEOG,1.0,1,45,10.0
2018,18F,GEOG,1.0,1,35,11.0
2019,19W,GEOG,1.0,1,40,12.0
2019,19S,GEOG,1.0,1,40,11.0
2019,19F,GEOG,1.0,1,37,11.0
2020,20W,GEOG,1.0,1,27,11.0
2011,11W,GEOG,2.0,1,39,11.0
2012,12W,GEOG,2.0,1,42,11.0
2013,13W,GEOG,2.0,1,34,11.0
2013,13S,GEOG,2.0,1,31,11.0
2014,14W,GEOG,2.0,1,33,11.0
2014,14S,GEOG,2.0,1,35,11.0
2015,15W,GEOG,2.0,1,41,11.0
2015,15S,GEOG,2.0,1,28,10.0
2015,15X,GEOG,2.0,1,33,10.0
2016,16W,GEOG,2.0,1,34,11.0
2016,16S,GEOG,2.0,1,36,11.0
2016,16F,GEOG,2.0,1,34,11.0
2017,17W,GEOG,2.0,1,43,11.0
2017,17S,GEOG,2.0,1,24,10.0
2017,17F,GEOG,2.0,1,44,11.0
2018,18W,GEOG,2.0,1,40,11.0
2019,19W,GEOG,2.0,1,39,11.0
2019,19F,GEOG,2.0,1,32,11.0
2020,20W,GEOG,2.0,1,34,11.0
2011,11F,GEOG,3.0,1,25,11.0
2013,13S,GEOG,3.0,1,21,10.0
2013,13F,GEOG,3.0,1,20,10.0
2015,15S,GEOG,3.0,1,19,11.0
2016,16S,GEOG,3.0,1,21,12.0
2017,17S,GEOG,3.0,1,38,12.0
2017,17F,GEOG,3.0,1,19,11.0
2018,18F,GEOG,3.0,1,31,11.0
2019,19F,GEOG,3.0,1,23,11.0
2012,12S,GEOG,4.0,1,29,9.0
2013,13W,GEOG,4.0,1,11,10.0
2011,11W,GEOG,5.0,1,42,9.0
2012,12W,GEOG,5.0,1,17,9.0
2014,14S,GEOG,5.0,1,33,10.0
2015,15S,GEOG,5.0,1,22,11.0
2016,16S,GEOG,5.0,1,40,11.0
2017,17S,GEOG,5.0,1,40,12.0
2018,18S,GEOG,5.0,1,40,11.0
2019,19S,GEOG,5.0,1,33,11.0
2011,11S,GEOG,6.0,1,46,10.0
2012,12W,GEOG,6.0,1,45,11.0
2012,12S,GEOG,6.0,1,38,11.0
2012,12F,GEOG,6.0,1,42,11.0
2013,13W,GEOG,6.0,1,43,10.0
2013,13F,GEOG,6.0,1,40,11.0
2014,14W,GEOG,6.0,1,44,11.0
2014,14F,GEOG,6.0,1,42,10.0
2015,15W,GEOG,6.0,1,42,10.0
2015,15F,GEOG,6.0,1,43,10.0
2016,16W,GEOG,6.0,1,41,10.0
2016,16F,GEOG,6.0,1,29,10.0
2017,17W,GEOG,6.0,1,39,10.0
2017,17F,GEOG,6.0,1,37,11.0
2018,18W,GEOG,6.0,1,42,10.0
2018,18F,GEOG,6.0,1,39,10.0
2019,19W,GEOG,6.0,1,25,11.0
2019,19F,GEOG,6.0,1,27,11.0
2020,20W,GEOG,6.0,1,25,11.0
2011,11W,GEOG,7.0,1,16,10.0
2011,11S,GEOG,7.0,1,14,11.0
2011,11F,GEOG,7.0,1,16,11.0
2012,12W,GEOG,7.0,1,15,12.0
2013,13W,GEOG,7.0,2,32,12.0
2013,13S,GEOG,7.0,1,15,12.0
2014,14W,GEOG,7.0,2,31,11.5
2014,14S,GEOG,7.0,1,16,12.0
2015,15W,GEOG,8.0,1,15,11.0
2016,16W,GEOG,8.0,1,28,12.0
2017,17W,GEOG,8.0,1,27,12.0
2018,18W,GEOG,8.0,1,31,11.0
2019,19W,GEOG,8.0,1,27,12.0
2020,20W,GEOG,8.0,1,26,12.0
2014,14W,GEOG,9.0,1,41,11.0
2015,15W,GEOG,9.0,1,29,10.0
2016,16W,GEOG,9.0,1,21,11.0
2017,17W,GEOG,9.0,1,34,10.5
2018,18W,GEOG,9.0,1,40,11.0
2019,19W,GEOG,9.0,1,32,10.0
2020,20W,GEOG,9.0,1,35,10.0
2012,12W,GEOG,11.0,1,16,11.5
2013,13S,GEOG,11.0,1,27,12.0
2013,13F,GEOG,11.0,1,20,11.0
2015,15W,GEOG,11.0,1,17,11.0
2015,15F,GEOG,11.0,1,18,12.0
2016,16F,GEOG,11.0,1,21,12.0
2017,17F,GEOG,11.0,1,29,11.0
2019,19W,GEOG,11.0,1,16,11.0
2019,19F,GEOG,11.0,1,17,11.0
2011,11S,GEOG,12.0,1,27,10.0
2011,11F,GEOG,12.0,1,19,11.0
2013,13W,GEOG,12.0,1,22,10.5
2015,15W,GEOG,12.0,1,11,10.0
2015,15F,GEOG,12.0,1,24,10.0
2016,16F,GEOG,12.0,1,17,10.0
2019,19S,GEOG,12.0,1,22,10.0
2011,11W,GEOG,13.0,1,36,11.0
2012,12S,GEOG,13.0,1,35,11.0
2013,13S,GEOG,13.0,1,15,11.0
2011,11X,GEOG,14.0,1,19,10.0
2015,15W,GEOG,14.0,1,17,10.0
2017,17W,GEOG,14.0,1,16,10.5
2018,18S,GEOG,14.0,1,19,11.0
2019,19F,GEOG,14.0,1,26,10.5
2011,11S,GEOG,15.0,1,48,11.0
2013,13S,GEOG,15.0,1,38,11.0
2014,14S,GEOG,15.0,1,41,11.0
2014,14F,GEOG,15.0,1,42,11.0
2016,16S,GEOG,15.0,1,38,11.0
2017,17S,GEOG,15.0,1,44,11.0
2017,17F,GEOG,15.0,1,39,11.0
2019,19S,GEOG,15.0,1,35,10.0
2011,11S,GEOG,16.0,1,23,11.0
2013,13S,GEOG,16.0,1,10,11.0
2014,14S,GEOG,16.0,1,21,11.0
2014,14F,GEOG,16.0,1,14,11.0
2016,16S,GEOG,16.0,1,24,11.0
2019,19S,GEOG,16.0,1,10,11.0
2012,12S,GEOG,17.0,1,51,11.0
2012,12F,GEOG,17.0,1,37,11.0
2014,14W,GEOG,17.0,1,43,11.0
2015,15S,GEOG,17.0,1,37,12.0
2017,17W,GEOG,17.0,1,18,10.5
2018,18S,GEOG,17.0,1,29,12.0
2019,19S,GEOG,17.0,1,33,12.0
2020,20W,GEOG,17.0,1,19,11.0
2012,12F,GEOG,18.0,1,45,11.0
2013,13F,GEOG,18.0,1,25,11.0
2017,17F,GEOG,18.0,1,22,11.0
2019,19F,GEOG,18.0,1,23,11.0
2017,17S,GEOG,19.0,1,22,11.0
2018,18S,GEOG,19.0,1,21,12.0
2011,11F,GEOG,20.0,1,35,10.0
2012,12F,GEOG,20.0,1,25,10.0
2013,13F,GEOG,20.0,1,33,11.0
2014,14F,GEOG,20.0,1,26,11.0
2015,15F,GEOG,20.0,1,34,10.5
2017,17W,GEOG,20.0,1,21,10.0
2018,18W,GEOG,20.0,1,25,11.0
2019,19X,GEOG,20.0,1,22,11.0
2014,14S,GEOG,21.0,1,31,12.0
2018,18S,GEOG,21.0,1,21,12.0
2011,11W,GEOG,22.0,1,45,10.0
2012,12W,GEOG,22.0,1,43,11.0
2012,12X,GEOG,22.0,1,24,10.0
2014,14W,GEOG,22.0,1,16,11.0
2014,14X,GEOG,22.0,1,26,9.0
2016,16W,GEOG,22.0,1,38,11.0
2016,16F,GEOG,22.0,1,39,10.0
2017,17F,GEOG,22.0,1,26,11.0
2018,18F,GEOG,22.0,1,31,10.0
2019,19F,GEOG,22.0,1,29,10.0
2012,12W,GEOG,23.0,1,31,11.0
2016,16W,GEOG,23.0,1,26,11.0
2016,16X,GEOG,23.0,1,28,12.0
2017,17S,GEOG,23.0,1,24,11.0
2017,17F,GEOG,23.0,1,13,11.0
2018,18F,GEOG,23.0,1,24,11.0
2012,12W,GEOG,24.0,1,21,10.0
2014,14X,GEOG,24.0,1,19,10.0
2016,16F,GEOG,24.0,1,17,11.0
2018,18F,GEOG,24.0,1,25,11.0
2020,20W,GEOG,24.0,1,27,11.0
2011,11S,GEOG,25.0,1,57,11.0
2011,11F,GEOG,25.0,1,50,11.0
2013,13S,GEOG,25.0,1,42,11.0
2013,13X,GEOG,25.0,1,41,11.0
2016,16S,GEOG,25.0,1,39,10.0
2017,17W,GEOG,25.0,1,37,12.0
2018,18W,GEOG,25.0,1,21,11.0
2018,18X,GEOG,25.0,1,25,12.0
2012,12S,GEOG,26.0,1,19,11.0
2014,14X,GEOG,26.0,1,23,11.0
2018,18F,GEOG,26.0,1,22,12.0
2019,19F,GEOG,26.0,1,14,12.0
2017,17X,GEOG,27.0,1,18,12.0
2018,18X,GEOG,27.0,1,21,12.0
2012,12W,GEOG,28.0,1,32,10.5
2013,13W,GEOG,28.0,1,27,11.0
2014,14W,GEOG,28.0,1,35,11.0
2015,15W,GEOG,28.0,1,27,10.0
2016,16S,GEOG,28.0,1,29,9.0
2017,17S,GEOG,28.0,1,22,9.5
2018,18S,GEOG,28.0,1,23,11.0
2019,19W,GEOG,28.0,1,31,10.0
2020,20W,GEOG,28.0,1,23,10.0
2012,12S,GEOG,29.0,1,42,11.0
2016,16S,GEOG,29.0,1,40,12.0
2011,11F,GEOG,31.0,1,20,10.0
2012,12F,GEOG,31.0,1,14,10.0
2013,13F,GEOG,31.0,1,15,10.0
2014,14F,GEOG,31.0,1,14,9.5
2016,16F,GEOG,31.0,1,11,12.0
2016,16W,GEOG,32.0,1,22,12.0
2017,17W,GEOG,32.0,1,31,12.0
2011,11X,GEOG,33.0,1,12,10.5
2018,18S,GEOG,33.0,1,12,12.0
2017,17X,GEOG,34.0,1,27,11.0
2018,18S,GEOG,34.0,1,21,11.0
2011,11S,GEOG,35.0,1,19,11.0
2013,13S,GEOG,35.0,1,25,11.0
2015,15S,GEOG,35.0,1,15,10.0
2019,19S,GEOG,35.0,1,12,11.0
2019,19S,GEOG,36.0,1,25,11.0
2019,19X,GEOG,37.0,1,23,11.0
2017,17X,GEOG,4.01,1,22,11.0
2018,18F,GEOG,4.01,1,29,12.0
2013,13F,GEOG,41.0,1,17,12.0
2012,12X,GEOG,42.0,1,15,10.0
2011,11W,GEOG,43.0,1,11,11.0
2013,13W,GEOG,43.0,1,21,11.0
2013,13X,GEOG,43.0,1,31,12.0
2011,11F,GEOG,44.0,1,27,11.0
2012,12F,GEOG,44.0,1,24,11.0
2014,14W,GEOG,44.0,1,19,11.0
2015,15W,GEOG,44.0,1,35,11.0
2019,19W,GEOG,44.0,1,29,11.0
2015,15X,GEOG,45.0,1,19,12.0
2017,17F,GEOG,45.0,1,22,11.0
2011,11S,GEOG,47.0,1,11,11.0
2012,12S,GEOG,47.0,1,20,12.0
2013,13S,GEOG,47.0,1,15,11.0
2014,14S,GEOG,47.0,1,15,12.0
2015,15S,GEOG,47.0,1,13,11.0
2016,16S,GEOG,47.0,1,14,12.0
2017,17S,GEOG,47.0,1,11,12.0
2018,18S,GEOG,47.0,1,10,11.5
2019,19S,GEOG,47.0,1,12,11.5
2012,12S,GEOG,49.0,1,10,11.0
2011,11S,GEOG,50.0,1,26,11.0
2011,11F,GEOG,50.0,1,28,10.0
2012,12S,GEOG,50.0,1,33,10.0
2012,12F,GEOG,50.0,1,28,12.0
2013,13S,GEOG,50.0,1,27,12.0
2013,13F,GEOG,50.0,1,30,10.0
2014,14S,GEOG,50.0,1,35,10.0
2014,14F,GEOG,50.0,1,34,10.0
2015,15S,GEOG,50.0,1,37,10.0
2015,15F,GEOG,50.0,1,39,10.0
2016,16S,GEOG,50.0,1,43,10.0
2016,16F,GEOG,50.0,1,33,10.0
2017,17S,GEOG,50.0,1,36,10.0
2017,17F,GEOG,50.0,1,36,10.0
2018,18S,GEOG,50.0,1,42,10.0
2018,18F,GEOG,50.0,1,45,10.0
2019,19S,GEOG,50.0,1,40,10.5
2019,19F,GEOG,50.0,1,24,12.0
2014,14W,GEOG,51.0,1,25,12.0
2015,15W,GEOG,51.0,1,19,11.0
2016,16W,GEOG,51.0,1,19,11.0
2018,18W,GEOG,51.0,1,23,12.0
2020,20W,GEOG,51.0,1,12,11.5
2018,18S,GEOG,53.0,1,16,11.0
2014,14W,GEOG,54.0,1,16,12.0
2015,15W,GEOG,54.0,1,11,11.0
2017,17W,GEOG,54.0,1,20,11.0
2019,19W,GEOG,54.0,1,22,12.0
2012,12S,GEOG,56.0,1,33,10.0
2013,13S,GEOG,56.0,1,16,11.5
2014,14S,GEOG,56.0,1,19,11.0
2015,15S,GEOG,56.0,1,24,10.5
2016,16S,GEOG,56.0,1,20,10.0
2017,17S,GEOG,56.0,1,15,11.0
2018,18S,GEOG,56.0,1,12,10.5
2019,19S,GEOG,56.0,1,15,10.0
2014,14F,GEOG,57.0,1,15,11.0
2016,16F,GEOG,57.0,1,13,10.0
2017,17F,GEOG,57.0,1,15,10.0
2020,20W,GEOG,57.0,1,19,12.0
2019,19W,GEOG,58.0,1,10,11.5
2019,19F,GEOG,58.0,1,15,12.0
2013,13W,GEOG,59.0,1,17,12.0
2017,17W,GEOG,59.0,1,17,12.0
2018,18W,GEOG,59.0,1,11,12.0
2018,18W,GEOG,61.0,1,15,11.0
2017,17X,GEOG,62.0,1,16,11.5
2019,19S,GEOG,62.0,1,17,12.0
2013,13S,GEOG,64.0,1,17,11.0
2016,16S,GEOG,65.0,1,15,11.0
2016,16X,GEOG,65.0,1,28,11.0
2017,17W,GEOG,65.0,1,25,11.0
2017,17X,GEOG,65.0,1,21,11.0
2018,18W,GEOG,65.0,1,22,11.0
2019,19W,GEOG,65.0,1,30,11.0
2015,15W,GEOG,67.0,1,15,12.0
2016,16W,GEOG,67.0,1,20,11.0
2016,16F,GEOG,67.0,1,24,11.0
2017,17F,GEOG,67.0,1,24,11.0
2018,18F,GEOG,67.0,1,25,11.0
2019,19F,GEOG,67.0,1,27,11.0
2019,19W,GEOG,68.0,1,22,11.0
2016,16S,GEOG,7.09,1,15,11.0
2015,15W,GEOG,7.12,1,16,11.0
2016,16W,GEOG,7.12,1,16,11.0
2017,17W,GEOG,7.12,1,15,11.0
2015,15S,GEOG,7.13,1,16,12.0
2017,17S,GEOG,7.13,1,16,11.0
2016,16W,GEOG,7.14,1,16,11.5
2018,18W,GEOG,7.14,1,16,11.0
2019,19W,GEOG,7.14,1,15,11.0
2017,17W,GEOG,7.15,1,16,11.0
2018,18S,GEOG,7.16,1,15,11.0
2019,19S,GEOG,7.17,1,16,12.0
2020,20W,GEOG,7.17,1,16,11.5
2011,11S,GEOG,81.0,1,11,11.0
2012,12S,GEOG,81.0,1,20,12.0
2013,13S,GEOG,81.0,1,15,11.0
2014,14S,GEOG,81.0,1,15,12.0
2015,15S,GEOG,81.0,1,13,11.0
2016,16S,GEOG,81.0,1,14,11.0
2017,17S,GEOG,81.0,1,11,11.0
2018,18S,GEOG,81.0,1,10,11.0
2019,19S,GEOG,81.0,1,12,11.0
2011,11S,GEOG,82.0,1,11,11.0
2012,12S,GEOG,82.0,1,20,12.0
2013,13S,GEOG,82.0,1,15,12.0
2014,14S,GEOG,82.0,1,15,11.0
2015,15S,GEOG,82.0,1,12,11.0
2016,16S,GEOG,82.0,1,14,11.5
2017,17S,GEOG,82.0,1,11,12.0
2018,18S,GEOG,82.0,1,10,10.0
2019,19S,GEOG,82.0,1,11,11.0
2014,14W,GEOG,85.0,1,11,12.0
2011,11F,GEOG,90.0,2,40,11.25
2012,12F,GEOG,90.0,2,33,11.0
2013,13F,GEOG,90.0,2,49,11.0
2014,14F,GEOG,90.0,2,35,11.0
2015,15F,GEOG,90.0,2,29,11.0
2016,16F,GEOG,90.0,3,45,11.666666666666666
2017,17F,GEOG,90.0,3,38,11.333333333333334
2018,18F,GEOG,90.0,2,27,12.0
2019,19F,GEOG,90.0,1,16,10.0
2015,15S,GEOG,80.03,1,25,12.0
2016,16S,GEOG,80.04,1,11,10.0
2019,19S,GEOG,80.04,1,12,11.0
2019,19S,GEOG,80.06,1,21,12.0
2019,19F,GEOG,80.07,1,13,12.0
2019,19S,GEOG,80.08,1,14,11.0
2011,11W,GERM,1.0,1,17,11.0
2011,11S,GERM,1.0,1,13,10.0
2011,11F,GERM,1.0,1,23,10.0
2012,12F,GERM,1.0,2,39,10.5
2013,13W,GERM,1.0,1,11,9.0
2013,13F,GERM,1.0,1,10,12.0
2014,14W,GERM,1.0,1,12,11.0
2014,14F,GERM,1.0,3,39,10.333333333333334
2015,15W,GERM,1.0,1,11,10.0
2015,15F,GERM,1.0,3,43,11.166666666666666
2016,16W,GERM,1.0,1,11,10.0
2016,16F,GERM,1.0,1,12,12.0
2017,17W,GERM,1.0,1,12,11.0
2017,17F,GERM,1.0,1,12,10.5
2018,18F,GERM,1.0,1,14,12.0
2019,19F,GERM,1.0,2,26,12.0
2020,20W,GERM,1.0,1,10,12.0
2011,11W,GERM,2.0,1,13,11.0
2011,11S,GERM,2.0,1,14,11.0
2011,11F,GERM,2.0,1,11,10.0
2012,12W,GERM,2.0,1,17,11.0
2013,13W,GERM,2.0,2,30,10.0
2013,13S,GERM,2.0,1,13,10.0
2014,14S,GERM,2.0,1,13,11.0
2015,15W,GERM,2.0,2,32,12.0
2015,15S,GERM,2.0,1,19,10.0
2016,16W,GERM,2.0,3,38,10.666666666666666
2016,16S,GERM,2.0,1,11,10.0
2017,17W,GERM,2.0,2,24,12.0
2017,17S,GERM,2.0,1,10,11.0
2018,18W,GERM,2.0,1,10,11.5
2019,19W,GERM,2.0,1,11,12.0
2019,19S,GERM,2.0,1,10,12.0
2020,20W,GERM,2.0,1,14,12.0
2011,11S,GERM,3.0,1,13,11.0
2012,12S,GERM,3.0,1,21,11.0
2012,12X,GERM,3.0,1,15,11.0
2012,12F,GERM,3.0,1,10,11.0
2013,13S,GERM,3.0,1,12,12.0
2013,13X,GERM,3.0,1,17,11.0
2014,14S,GERM,3.0,1,12,10.0
2014,14X,GERM,3.0,1,11,11.0
2015,15S,GERM,3.0,1,10,12.0
2015,15X,GERM,3.0,1,12,11.0
2015,15F,GERM,3.0,1,11,12.0
2016,16S,GERM,3.0,3,34,11.666666666666666
2016,16F,GERM,3.0,1,12,12.0
2017,17S,GERM,3.0,1,15,11.0
2017,17F,GERM,3.0,1,12,12.0
2018,18S,GERM,3.0,1,16,12.0
2019,19S,GERM,3.0,1,12,12.0
2011,11X,GERM,5.0,1,10,11.0
2012,12X,GERM,5.0,1,15,11.0
2013,13X,GERM,5.0,1,17,12.0
2014,14S,GERM,5.0,1,11,11.0
2014,14X,GERM,5.0,1,12,11.0
2015,15X,GERM,5.0,1,17,12.0
2016,16S,GERM,5.0,1,18,11.0
2016,16X,GERM,5.0,1,14,11.0
2017,17X,GERM,5.0,1,12,11.0
2018,18X,GERM,5.0,1,11,11.0
2011,11X,GERM,6.0,1,10,10.5
2012,12X,GERM,6.0,1,15,11.0
2013,13X,GERM,6.0,1,17,12.0
2014,14S,GERM,6.0,1,11,11.0
2014,14X,GERM,6.0,1,12,11.0
2015,15X,GERM,6.0,1,17,11.0
2016,16S,GERM,6.0,1,18,11.5
2016,16X,GERM,6.0,1,14,11.5
2017,17X,GERM,6.0,1,12,12.0
2018,18X,GERM,6.0,1,11,11.0
2011,11F,GERM,7.0,1,16,10.0
2014,14W,GERM,7.0,1,16,11.0
2011,11S,GERM,13.0,1,108,11.0
2012,12S,GERM,13.0,1,56,11.0
2013,13S,GERM,13.0,1,57,9.0
2014,14S,GERM,13.0,1,33,10.0
2015,15S,GERM,13.0,1,39,10.0
2016,16S,GERM,13.0,1,14,10.5
2018,18S,GERM,14.0,1,20,12.0
2019,19S,GERM,15.0,1,48,11.0
2011,11F,GERM,42.0,1,13,12.0
2011,11S,GERM,43.0,1,18,11.0
2013,13X,GERM,44.0,1,12,12.0
2013,13W,GERM,45.0,1,21,11.0
2012,12X,GERM,46.0,1,22,12.0
2018,18W,GERM,61.0,1,10,12.0
2018,18W,GERM,7.01,1,14,11.0
2019,19W,GERM,7.01,1,16,11.0
2016,16W,GERM,7.02,1,16,10.0
2015,15W,GERM,7.03,1,16,10.0
2017,17W,GERM,7.04,1,16,12.0
2020,20W,GERM,7.05,1,16,12.0
2013,13F,GERM,10.0,1,11,11.0
2014,14F,GERM,10.01,1,13,12.0
2016,16F,GERM,10.01,1,17,12.0
2017,17F,GERM,10.01,1,15,12.0
2018,18F,GERM,10.01,1,19,12.0
2019,19F,GERM,10.01,1,14,12.0
2015,15S,GERM,10.03,1,10,11.0
2017,17S,GERM,10.03,1,11,11.0
2018,18W,GERM,10.06,1,11,12.0
2018,18S,GERM,42.06,1,12,12.0
2014,14X,GERM,43.03,1,13,11.0
2014,14X,GERM,44.02,1,34,11.0
2015,15X,GERM,44.02,1,36,11.0
2016,16X,GERM,44.02,1,46,12.0
2019,19X,GERM,44.03,1,22,11.0
2017,17X,GERM,46.01,1,18,12.0
2019,19F,GERM,64.04,1,11,12.0
